Date,EURUSD=X,GLD,IEF,^GSPC
2015-07-17,1.0886012315750122,108.6500015258789,83.292236328125,2126.639892578125
2015-07-20,1.0830246210098267,105.69999694824219,83.12571716308594,2128.280029296875
2015-07-21,1.0835410356521606,105.37000274658203,83.35562896728516,2119.2099609375
2015-07-22,1.0939961671829224,104.80000305175781,83.45870971679688,2114.14990234375
2015-07-23,1.0927051305770874,104.33000183105469,83.79961395263672,2102.14990234375
2015-07-24,1.0989010334014893,105.3499984741211,83.8788833618164,2079.64990234375
2015-07-27,1.0972371101379395,104.86000061035156,84.15637969970703,2067.639892578125
2015-07-28,1.109004020690918,105.0199966430664,83.91851806640625,2093.25
2015-07-29,1.1065986156463623,105.16999816894531,83.79961395263672,2108.570068359375
2015-07-30,1.098406195640564,104.2699966430664,83.8947525024414,2108.6298828125
2015-07-31,1.0939244031906128,104.93000030517578,84.38629913330078,2103.840087890625
2015-08-03,1.0969001054763794,104.0999984741211,84.64356994628906,2098.0400390625
2015-08-04,1.09560227394104,104.30999755859375,84.20687103271484,2093.320068359375
2015-08-05,1.0888975858688354,103.93000030517578,83.88128662109375,2099.840087890625
2015-08-06,1.0903104543685913,104.38999938964844,84.17507934570312,2083.56005859375
2015-08-07,1.0927051305770874,104.6500015258789,84.50859069824219,2077.570068359375
2015-08-10,1.0965032577514648,105.72000122070312,84.15918731689453,2104.179931640625
2015-08-11,1.1016976833343506,106.26000213623047,84.71505737304688,2084.070068359375
2015-08-12,1.104203701019287,107.75,84.68323516845703,2086.050048828125
2015-08-13,1.1160963773727417,106.86000061035156,84.46088409423828,2083.389892578125
2015-08-14,1.1160963773727417,106.8499984741211,84.37360382080078,2091.5400390625
2015-08-17,1.1092993021011353,107.12999725341797,84.52448272705078,2102.43994140625
2015-08-18,1.107800006866455,107.11000061035156,84.38946533203125,2096.919921875
2015-08-19,1.1030831336975098,108.55000305175781,84.90557861328125,2079.610107421875
2015-08-20,1.1118029356002808,110.44000244140625,85.13585662841797,2035.72998046875
2015-08-21,1.1236965656280518,111.12999725341797,85.47728729248047,1970.8900146484375
2015-08-24,1.1376951932907104,110.52999877929688,85.6202163696289,1893.2099609375
2015-08-25,1.1583056449890137,109.16000366210938,85.15170288085938,1867.6099853515625
2015-08-26,1.1550945043563843,107.66999816894531,84.62771606445312,1940.510009765625
2015-08-27,1.1340054273605347,107.7300033569336,84.58001708984375,1987.6600341796875
2015-08-28,1.1247961521148682,108.69999694824219,84.5959243774414,1988.8699951171875
2015-08-31,1.1214030981063843,108.81999969482422,84.45299530029297,1972.1800537109375
2015-09-01,1.1225864887237549,109.19999694824219,84.83231353759766,1913.8499755859375
2015-09-02,1.1293437480926514,108.62000274658203,84.6017074584961,1948.8599853515625
2015-09-03,1.121604323387146,107.83999633789062,84.8084945678711,1951.1300048828125
2015-09-04,1.1125946044921875,107.48999786376953,85.0709228515625,1921.219970703125
2015-09-08,1.1163954734802246,107.5199966430664,84.6971664428711,1969.4100341796875
2015-09-09,1.1207369565963745,106.12999725341797,84.72896575927734,1942.0400390625
2015-09-10,1.1220699548721313,106.37999725341797,84.53804016113281,1952.2900390625
2015-09-11,1.1290887594223022,106.16000366210938,84.76073455810547,1961.050048828125
2015-09-14,1.1344043016433716,106.22000122070312,84.84030151367188,1953.030029296875
2015-09-15,1.1307612657546997,105.9000015258789,84.17229461669922,1978.0899658203125
2015-09-16,1.1271796226501465,107.30999755859375,84.14835357666016,1995.31005859375
2015-09-17,1.12920343875885,108.41000366210938,84.8482437133789,1990.199951171875
2015-09-18,1.1400948762893677,109.20999908447266,85.24591064453125,1958.030029296875
2015-09-21,1.12920343875885,108.52999877929688,84.76073455810547,1966.969970703125
2015-09-22,1.1190940141677856,107.79000091552734,85.18223571777344,1942.739990234375
2015-09-23,1.1120749711990356,108.22000122070312,85.08682250976562,1938.760009765625
2015-09-24,1.1189937591552734,110.48999786376953,85.214111328125,1932.239990234375
2015-09-25,1.1178929805755615,109.80999755859375,84.99138641357422,1931.3399658203125
2015-09-28,1.1201720237731934,108.41999816894531,85.47654724121094,1881.77001953125
2015-09-29,1.123103380203247,107.9800033569336,85.77080535888672,1884.0899658203125
2015-09-30,1.1255937814712524,106.86000061035156,85.78668212890625,1920.030029296875
2015-10-01,1.11720609664917,106.7300033569336,85.85352325439453,1923.8199462890625
2015-10-02,1.1193444728851318,108.98999786376953,86.26775360107422,1951.3599853515625
2015-10-05,1.1226998567581177,108.7699966430664,85.78982543945312,1987.050048828125
